STATE,NAME,District,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,EMP_change,MSW_change,BF_change,MSL_change,FC_change,CHH_change,F_EMP_change,Asset_2001,Asset_2011,Asset_Change
9,Mahoba,169,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,3,2,2,2,2,1,1,2,3
9,Banda,170,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2
9,Chitrakoot,171,2,2,2,2,1,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,1,1,1,2
9,Fatehpur,172,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2
9,Pratapgarh,173,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Kaushambi,174,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2
9,Allahabad ,175,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,1,2,3
9,Barabanki,176,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Faizabad,177,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,3
9,Ambedkar Nagar,178,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2
9,Sultanpur,179,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3
9,Bahraich,180,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Shrawasti,181,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2
9,Balrampur,182,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2
9,Gonda,183,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2
9,Siddharthnagar,184,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2
9,Basti,185,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,3
9,Sant Kabir Nagar,186,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Mahrajganj,187,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2
9,Gorakhpur,188,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,3,2,2,2,1,2,3
9,Kushinagar,189,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2
9,Deoria,190,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,3
9,Azamgarh,191,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Mau,192,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,3,2,2,1,1,2,3
9,Ballia,193,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3
9,Jaunpur,194,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Ghazipur,195,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,3
9,Chandauli,196,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3
9,Varanasi,197,3,3,2,2,3,2,2,2,3,2,2,2,1,2,2,2,3,2,3,2,3,2,2,2
9,Sant Ravidas Nagar Bhadohi,198,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,3
